jam,harga
24,459000
24,386800
10,99900
24,520000
24,170000
24,85000
24,499000
24,350000
24,325000
24,430000
8,272000
24,1200000
24,85000
24,21300
8.5,170000
24,100000
24,236300
8,272000
24,340000
9,89300
24,89000
24,425000
10,89300
24,359000
24,15000
24,20000
24,29800
24,42500
24,19000
24,135000
10,552500
24,535000
24,19000
24,300000
24,62500
24,150000
7,291000
24,425000
8,285000
7,291000
1.5,180000
24,315000
4,225000
24,245000
5,214695
7,700000
24,390000
24,300000
24,489700
24,600000
24,395000
12,475000
9,90100
6,165000
24,255000
4,150000
